Estacion;Fecha inicial;Fecha final;PM2.5
ZIPAQUIRÁ - EFZ;3/02/2024 15:00;3/02/2024 15:59;7,44
ZIPAQUIRÁ - EFZ;3/02/2024 14:00;3/02/2024 14:59;8
ZIPAQUIRÁ - EFZ;3/02/2024 13:00;3/02/2024 13:59;10,98
ZIPAQUIRÁ - EFZ;3/02/2024 12:00;3/02/2024 12:59;13,43
ZIPAQUIRÁ - EFZ;3/02/2024 11:00;3/02/2024 11:59;17,45
ZIPAQUIRÁ - EFZ;3/02/2024 10:00;3/02/2024 10:59;25,76
ZIPAQUIRÁ - EFZ;3/02/2024 9:00;3/02/2024 9:59;32,05
ZIPAQUIRÁ - EFZ;3/02/2024 8:00;3/02/2024 8:59;29,54
ZIPAQUIRÁ - EFZ;3/02/2024 7:00;3/02/2024 7:59;26,17
ZIPAQUIRÁ - EFZ;3/02/2024 6:00;3/02/2024 6:59;22,65
ZIPAQUIRÁ - EFZ;3/02/2024 5:00;3/02/2024 5:59;17,55
ZIPAQUIRÁ - EFZ;3/02/2024 4:00;3/02/2024 4:59;17,42
ZIPAQUIRÁ - EFZ;3/02/2024 3:00;3/02/2024 3:59;14,48
ZIPAQUIRÁ - EFZ;3/02/2024 2:00;3/02/2024 2:59;12,78
ZIPAQUIRÁ - EFZ;3/02/2024 1:00;3/02/2024 1:59;14,98
ZIPAQUIRÁ - EFZ;3/02/2024 0:00;3/02/2024 0:59;17,1
ZIPAQUIRÁ - EFZ;2/02/2024 23:00;2/02/2024 23:59;19,71
ZIPAQUIRÁ - EFZ;2/02/2024 22:00;2/02/2024 22:59;19,58
ZIPAQUIRÁ - EFZ;2/02/2024 21:00;2/02/2024 21:59;18,14
ZIPAQUIRÁ - EFZ;2/02/2024 20:00;2/02/2024 20:59;20,89
ZIPAQUIRÁ - EFZ;2/02/2024 19:00;2/02/2024 19:59;22,4
ZIPAQUIRÁ - EFZ;2/02/2024 18:00;2/02/2024 18:59;16,49
ZIPAQUIRÁ - EFZ;2/02/2024 17:00;2/02/2024 17:59;9,03
ZIPAQUIRÁ - EFZ;2/02/2024 16:00;2/02/2024 16:59;7,96
ZIPAQUIRÁ - EFZ;2/02/2024 15:00;2/02/2024 15:59;9,36
ZIPAQUIRÁ - EFZ;2/02/2024 14:00;2/02/2024 14:59;10,31
ZIPAQUIRÁ - EFZ;2/02/2024 13:00;2/02/2024 13:59;12,17
ZIPAQUIRÁ - EFZ;2/02/2024 12:00;2/02/2024 12:59;12,83
ZIPAQUIRÁ - EFZ;2/02/2024 11:00;2/02/2024 11:59;12,96
ZIPAQUIRÁ - EFZ;2/02/2024 10:00;2/02/2024 10:59;16,83
